Package,APK_Path,Category,Risk_Score
com.google.android.ondevicepersonalization.services,/apex/com.android.ondevicepersonalization/priv-app/OnDevicePersonalizationGoogle@360738140/OnDevicePersonalizationGoogle.apk,Other,0
com.google.android.onetimeinitializer,/product/priv-app/GoogleOneTimeInitializer/GoogleOneTimeInitializer.apk,Other,0
com.google.android.overlay.devicelockcontroller,/product/overlay/GoogleDeviceLockControllerOverlay.apk,Other,0
com.google.android.overlay.gmsconfig.asi,/product/overlay/GmsConfigOverlayASI.apk,Other,0
com.google.android.overlay.gmsconfig.common,/product/overlay/GmsConfigOverlayCommon.apk,Other,0
com.google.android.overlay.gmsconfig.comms,/product/overlay/GmsConfigOverlayComms.apk,Other,0
com.google.android.overlay.gmsconfig.geotz,/product/overlay/GmsConfigOverlayGeotz.apk,Other,0
com.google.android.overlay.gmsconfig.gsa,/product/overlay/GmsConfigOverlayGSA.apk,Other,0
com.google.android.overlay.gmsconfig.personalsafety,/product/overlay/GmsConfigOverlayPersonalSafety.apk,Other,0
com.google.android.overlay.gmsconfig.photos,/product/overlay/GmsConfigOverlayPhotos.apk,Other,0
com.google.android.overlay.modules.captiveportallogin.forframework,/product/overlay/CaptivePortalLoginFrameworkOverlay.apk,Other,0
com.google.android.overlay.modules.documentsui,/product/overlay/GoogleDocumentsUIOverlay.apk,Other,0
com.google.android.overlay.modules.ext.services,/product/overlay/GoogleExtServicesConfigOverlay.apk,Other,0
com.google.android.overlay.modules.healthfitness.forframework,/product/overlay/GoogleHealthFitnessFrameworkOverlay.apk,Other,0
com.google.android.overlay.modules.modulemetadata.forframework,/product/overlay/ModuleMetadataGoogleOverlay.apk,Other,0
com.google.android.overlay.modules.permissioncontroller,/product/overlay/GooglePermissionControllerOverlay.apk,Other,0
com.google.android.overlay.modules.permissioncontroller.forframework,/product/overlay/GooglePermissionControllerFrameworkOverlay.apk,Other,0
com.google.android.packageinstaller,/system/priv-app/GooglePackageInstaller/GooglePackageInstaller.apk,Other,0
com.google.android.permissioncontroller,/apex/com.android.permission/priv-app/GooglePermissionController@360743220/GooglePermissionController.apk,Other,0
com.google.android.photopicker,/apex/com.android.mediaprovider/priv-app/PhotopickerGoogle@360738280/PhotopickerGoogle.apk,Other,0
com.google.android.printservice.recommendation,/system/app/GooglePrintRecommendationService/GooglePrintRecommendationService.apk,Other,0
com.google.android.providers.media.module,/apex/com.android.mediaprovider/priv-app/MediaProviderGoogle@360738280/MediaProviderGoogle.apk,Other,0
com.google.android.safetycenter.resources,/apex/com.android.permission/priv-app/GoogleSafetyCenterResources@360743220/GoogleSafetyCenterResources.apk,Other,0
com.google.android.sdksandbox,/apex/com.android.adservices/app/SdkSandboxGoogle@360738140/SdkSandboxGoogle.apk,Other,0
com.google.android.server.deviceconfig.resources,/apex/com.android.configinfrastructure/app/DeviceConfigServiceResourcesGoogle@360527560/DeviceConfigServiceResourcesGoogle.apk,Other,0
com.google.android.setupwizard,/system_ext/priv-app/SetupWizard/SetupWizard.apk,Other,0
com.google.android.tag,/system/priv-app/TagGoogle/TagGoogle.apk,Other,0
com.google.android.wfcactivation,/product/priv-app/WfcActivation/WfcActivation.apk,Other,0
com.google.android.wifi.dialog,/apex/com.android.wifi/app/WifiDialogGoogle@360735060/WifiDialogGoogle.apk,Other,0
com.google.android.wifi.resources,/apex/com.android.wifi/priv-app/ServiceWifiResourcesGoogle@360735060/ServiceWifiResourcesGoogle.apk,Other,0
com.lenovo.lsf.user,/product/priv-app/LenovoId/LenovoId.apk,Other,0
com.metropcs.metrozone,/product/priv-app/MetroZone/MetroZone.apk,Other,0
com.mizmowireless.acctmgt,/product/priv-app/MyCricket/MyCricket.apk,Other,0
com.motorola.actions,/product/priv-app/MotoActions/MotoActions.apk,Other,0
com.motorola.actions.overlay,/product/overlay/framework-rro-irservice.apk,Other,0
com.motorola.android.buacloudcontactadapter,/product/priv-app/BuaCloudContactAdapter/BuaCloudContactAdapter.apk,Other,0
com.motorola.android.connectivity.resources.overlay,/product/overlay/MotoServiceConnectivityResOverlay.apk,Other,0
com.motorola.android.contacts.overlay.vzw,/product/overlay/MotoContactsOverlayVZW.apk,Other,0
com.motorola.android.coresettingsext.overlay.doubletap,/product/overlay/MotoCoreSettingsDoubleTapOverlay.apk,Other,0
com.motorola.android.coresettingsext.overlay.fogo,/product/overlay/MotoCoreSettingsExtFogoOverlay.apk,Other,0
com.motorola.android.fmradio,/system_ext/app/FMRadioService/FMRadioService.apk,Other,0
com.motorola.android.fota,/system_ext/priv-app/Fota/Fota.apk,Other,0
com.motorola.android.launcher.overlay.animation.scale,/product/overlay/MotoLauncherAnimationOverlay40.apk,Other,0
com.motorola.android.launcher.overlay.applabeltwolines.cc,/product/overlay/MotoLauncherOverlayAppLabelTwoLinesCC.apk,Other,0
com.motorola.android.launcher.overlay.assurance.rcs.apptray,/product/overlay/folderAssuranceAppTray_google_rcs.apk,Other,0
com.motorola.android.launcher.overlay.att,/product/overlay/MotoLauncherOverlayATT.apk,Other,0
com.motorola.android.launcher.overlay.att.apptray,/product/overlay/FolderAppTray_layout_v02.apk,Other,0
com.motorola.android.launcher.overlay.boost.apptray,/product/overlay/folderBoostAppTray_layout_v02.apk,Other,0
com.motorola.android.launcher.overlay.comcast,/product/overlay/MotoLauncherOverlayComcast.apk,Other,0
com.motorola.android.launcher.overlay.cricket.apptray,/product/overlay/folderCricketAppTray_layout_v02.apk,Other,0
com.motorola.android.launcher.overlay.koodo,/product/overlay/MotoLauncherOverlayKoodo.apk,Other,0
com.motorola.android.launcher.overlay.metropcs.rcs.apptray,/product/overlay/folderMetroAppTray_google_rcs.apk,Other,0
com.motorola.android.launcher.overlay.motolauncheroverlayna,/product/overlay/MotoLauncherOverlayNA.apk,Other,0
com.motorola.android.launcher.overlay.retail.global,/product/overlay/MotoLauncherOverlayRetailGlobal.apk,Other,0
com.motorola.android.launcher.overlay.telus,/product/overlay/MotoLauncherOverlayTelus.apk,Other,0
